_id;dialog;movie;character;id
5cd96e05de30eff6ebcce80d;Et E'rello Endorenna ut'lien. Sinome maruvan ar Hildinyar tenn' Ambar-metta!;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfbe6;5cd96e05de30eff6ebcce80d
5cd96e05de30eff6ebcce80e;Hannon le.;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfbe6;5cd96e05de30eff6ebcce80e
5cd96e05de30eff6ebcce80f;My friends, you bow to no-one.;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfbe6;5cd96e05de30eff6ebcce80f
5cd96e05de30eff6ebcce810;And thus it was a Fourth Age of Middle Earth began. And the Fellowship of the Ring, though eternally bound by friendship and love was ended. Thirteen months to the day since Gandalf sent us on our long journey we find ourselves looking upon a familiar sight.;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfc15;5cd96e05de30eff6ebcce810
5cd96e05de30eff6ebcce811;Alright!;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfe2e;5cd96e05de30eff6ebcce811
5cd96e05de30eff6ebcce812;We were home.;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfc15;5cd96e05de30eff6ebcce812
5cd96e05de30eff6ebcce813;Hey watch the pumpkin.;5cd95395de30eff6ebccde5d;5cdbe49b7ed9587226e794a0;5cd96e05de30eff6ebcce813
5cd96e05de30eff6ebcce814;The journey home.;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfd0d;5cd96e05de30eff6ebcce814
5cd96e05de30eff6ebcce815;Oh alright, but we don't have that much left. We have to be careful or we are going to run out. You go ahead and eat that Mr Frodo. I've rationed it, there should be enough.;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfd0d;5cd96e05de30eff6ebcce815
5cd96e05de30eff6ebcce816;Come Hobbitses, very close now. Very close to Mordor. No safe places here. Hurry.;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfe9e;5cd96e05de30eff6ebcce816
5cd96e05de30eff6ebcce817;It's good. Definitely from the Shire. Longbottom leaf eh?;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfc7c;5cd96e05de30eff6ebcce817
5cd96e05de30eff6ebcce818;uhh huh, I feel like I'm back at the Green Dragon.;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfe2e;5cd96e05de30eff6ebcce818
5cd96e05de30eff6ebcce819;Mmmm, Green Dragon!;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfc7c;5cd96e05de30eff6ebcce819
5cd96e05de30eff6ebcce81a;For what?;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfc15;5cd96e05de30eff6ebcce81a
5cd96e05de30eff6ebcce81b;Goodnight lads.;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfc8f;5cd96e05de30eff6ebcce81b
5cd96e05de30eff6ebcce81c;Welcome, my lords to Isengard!;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfc7c;5cd96e05de30eff6ebcce81c
5cd96e05de30eff6ebcce81d;You young rascals. A merry hunt you've led us on and now we find you feasting and ' and smoking!;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfd23;5cd96e05de30eff6ebcce81d
5cd96e05de30eff6ebcce81e;Hmm?;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfe2e;5cd96e05de30eff6ebcce81e
5cd96e05de30eff6ebcce81f;Only, you've never done a hard day's work.;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfc7c;5cd96e05de30eff6ebcce81f
5cd96e05de30eff6ebcce820;Ahaha!;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfe2e;5cd96e05de30eff6ebcce820
5cd96e05de30eff6ebcce821;How do you pick up the threads of an old life? How do you go on, when in your heart you begin to understand there is no going back? There are some things that time cannot mend. Some hurts that go too deep, that have taken hold.;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfc15;5cd96e05de30eff6ebcce821
5cd96e05de30eff6ebcce822;Mr Frodo? What is it?;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfd0d;5cd96e05de30eff6ebcce822
5cd96e05de30eff6ebcce823;It's been four years to the day since Weathertop, Sam. It's never really healed.;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfc15;5cd96e05de30eff6ebcce823
5cd96e05de30eff6ebcce824;A mug of ale in my hand. Putting my feet up on a settle after a hard day's work.;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfe2e;5cd96e05de30eff6ebcce824
5cd96e05de30eff6ebcce825;"""There and Back Again, a Hobbit's tale"" by Bilbo Baggins and ""The Lord of the Rings"" by Frodo Baggins. You finished it.";5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfd0d;5cd96e05de30eff6ebcce825
5cd96e05de30eff6ebcce826;Not quite. There's room for a little more.;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfc15;5cd96e05de30eff6ebcce826
5cd96e05de30eff6ebcce827;Bilbo once told me his part in this tale would end. That each of us must come and go in the telling. Bilbo's story was now over. There would be no more journeys for him, save one.;5cd95395de30eff6ebccde5d;5cd99d4bde30eff6ebccfc15;5cd96e05de30eff6ebcce827
